location_id,station_name,city,country_code,latitude,longitude,pollutant_type,pollutant_value,unit,recorded_at,source
8088,Peshawar,N/A,PK,34.005852,71.53775,pm25,90.0,µg/m³,2025-03-24T23:00:00Z,openaq_v3
8156,Karachi,N/A,PK,24.8415,67.0091,pm25,62.0,µg/m³,2025-03-04T12:00:00Z,openaq_v3
8634,US Diplomatic Post: Islamabad,Islamabad,PK,33.7235,73.11822,pm25,16.0,µg/m³,2025-03-04T12:00:00Z,openaq_v3
8664,US Diplomatic Post: Lahore,Lahore,PK,31.560078,74.33589,pm25,-999.0,µg/m³,2025-03-04T12:00:00Z,openaq_v3
233470,Islamabad,N/A,PK,33.725614,73.11602,pm25,62.0,µg/m³,2026-02-16T13:00:00Z,openaq_v3
1894633,"Karachi, Pakistan","Karachi, Pakistan",PK,24.811053632574033,67.05825434267292,pm10,49.84,µg/m³,2024-02-28T12:42:56Z,openaq_v3
1894633,"Karachi, Pakistan","Karachi, Pakistan",PK,24.811053632574033,67.05825434267292,temperature,23.49,f,2024-01-19T14:50:42Z,openaq_v3
1894633,"Karachi, Pakistan","Karachi, Pakistan",PK,24.811053632574033,67.05825434267292,pm25,24.71,µg/m³,2024-02-28T12:42:56Z,openaq_v3
1894633,"Karachi, Pakistan","Karachi, Pakistan",PK,24.811053632574033,67.05825434267292,pm1,25.41,µg/m³,2024-02-28T12:42:56Z,openaq_v3
1894633,"Karachi, Pakistan","Karachi, Pakistan",PK,24.811053632574033,67.05825434267292,temperature,25.21,c,2024-02-28T12:42:56Z,openaq_v3
1894641,Lahore,Lahore,PK,31.54815,74.34396,pm1,79.6,µg/m³,2024-04-24T02:03:48Z,openaq_v3
1894641,Lahore,Lahore,PK,31.54815,74.34396,temperature,22.98,f,2024-04-24T00:54:24Z,openaq_v3
1894641,Lahore,Lahore,PK,31.54815,74.34396,pm10,179.0,µg/m³,2024-04-24T02:03:48Z,openaq_v3
1894641,Lahore,Lahore,PK,31.54815,74.34396,pm25,41.85,µg/m³,2026-07-11T23:58:35Z,openaq_v3
1894641,Lahore,Lahore,PK,31.54815,74.34396,temperature,23.55,c,2024-04-24T02:03:48Z,openaq_v3
